created_at,entry_id,field1,field2,entry_id_5min_avg,field1_5min_avg,field2_5min_avg
2024-07-28 03:40:00+00:00,,,,1.0,26.2,1434.73
2024-07-28 03:40:10+00:00,1.0,26.2,1434.73,,,
2024-07-28 03:45:00+00:00,,,,2.5,26.2,1601.4
2024-07-28 03:47:35+00:00,2.0,26.2,1494.3,,,
2024-07-28 03:49:57+00:00,3.0,26.2,1708.5,,,
2024-07-28 03:50:00+00:00,,,,4.5,26.005,1740.885
2024-07-28 03:51:41+00:00,4.0,26.2,1711.1,,,
2024-07-28 03:54:34+00:00,5.0,25.81,1770.67,,,
2024-07-28 03:55:00+00:00,,,,7.0,25.953333333333333,1674.1000000000001
2024-07-28 03:55:39+00:00,6.0,25.8,1813.64,,,
2024-07-28 03:58:50+00:00,7.0,25.99,1759.77,,,
2024-07-28 03:59:42+00:00,8.0,26.07,1448.89,,,
2024-07-28 04:00:00+00:00,,,,,,
2024-07-28 04:05:00+00:00,,,,,,
2024-07-28 04:10:00+00:00,,,,,,
2024-07-28 04:15:00+00:00,,,,,,
2024-07-28 04:20:00+00:00,,,,,,
2024-07-28 04:25:00+00:00,,,,,,
2024-07-28 04:30:00+00:00,,,,,,
2024-07-28 04:35:00+00:00,,,,9.5,26.43,1805.9099999999999
2024-07-28 04:36:14+00:00,9.0,26.31,1754.72,,,
2024-07-28 04:39:43+00:00,10.0,26.55,1857.1,,,
2024-07-28 04:40:00+00:00,,,,11.0,26.7,1833.66
2024-07-28 04:41:40+00:00,11.0,26.7,1833.66,,,
2024-07-28 04:45:00+00:00,,,,13.0,26.78333333333333,1862.4133333333332
2024-07-28 04:45:55+00:00,12.0,26.7,1850.26,,,
2024-07-28 04:46:49+00:00,13.0,26.7,1888.67,,,
2024-07-28 04:47:43+00:00,14.0,26.95,1848.31,,,
2024-07-28 04:50:00+00:00,,,,15.0,26.71,1822.1
2024-07-28 04:52:48+00:00,15.0,26.71,1822.1,,,
2024-07-28 04:55:00+00:00,,,,,,
2024-07-28 05:00:00+00:00,,,,16.0,27.09,1815.43
2024-07-28 05:03:24+00:00,16.0,27.09,1815.43,,,
2024-07-28 05:05:00+00:00,,,,17.0,26.71,1430.66
2024-07-28 05:08:07+00:00,17.0,26.71,1430.66,,,
